ID,Nome,Idade,Setor,Cidade,CPF,RG,Formacao,Tempo_Empresa_Meses,Data_Aniversario,Funcao_Atual,Data_Admissao,Status
1,Funcionário 1,50,Produto,Brasília,104.332.181-00,4903402-8,MBA,7,1974-01-01,Product Manager,2024-05-14,Desligado
2,Funcionário 2,40,Inovação,Fortaleza,908.386.379-49,8090293-5,Graduação,17,1984-01-25,Analista de Inovação,2023-07-24,Ativo
3,Funcionário 3,57,Marketing,Brasília,423.511.615-05,8707870-8,Graduação,12,1967-10-09,Especialista em SEO,2023-12-06,Ativo
4,Funcionário 4,23,Marketing,Manaus,161.849.593-36,5855124-1,Mestrado,31,2001-01-22,Especialista em SEO,2022-05-23,Ativo
5,Funcionário 5,23,Qualidade,Porto Alegre,316.475.255-51,2197935-9,Ensino Médio,21,2001-11-09,Coordenador de Qualidade,2023-03-06,Ativo
6,Funcionário 6,43,Qualidade,Salvador,283.276.483-57,6292423-6,Ensino Médio,14,1981-01-08,Auditor,2023-10-27,Ativo
7,Funcionário 7,49,Qualidade,Natal,413.953.767-19,5408072-9,Doutorado,26,1975-05-05,Coordenador de Qualidade,2022-10-20,Ativo
8,Funcionário 8,24,Gente & Gestão,Florianópolis,696.532.871-17,8082668-9,Doutorado,32,2000-02-05,Analista de RH,2022-04-07,Ativo
9,Funcionário 9,30,Inovação,Curitiba,166.978.480-06,6707197-1,Pós-graduação,28,1994-11-18,Analista de Inovação,2022-08-23,Ativo
10,Funcionário 10,35,Comercial,Recife,462.704.828-95,9517169-9,Ensino Médio,28,1989-11-10,Executivo de Contas,2022-08-06,Ativo
11,Funcionário 11,23,Financeiro,Manaus,325.288.095-49,6159230-3,Doutorado,3,2001-01-04,Gerente Financeiro,2024-09-27,Ativo
12,Funcionário 12,28,Qualidade,Belém,039.117.182-84,3770370-4,Doutorado,27,1996-11-16,Auditor,2022-09-20,Ativo
13,Funcionário 13,35,Tecnologia,Joinville,896.383.465-40,4769795-1,Tecnólogo,6,1989-09-15,DevOps,2024-06-16,Desligado
14,Funcionário 14,23,Operações,Belo Horizonte,509.839.301-98,6543670-1,Tecnólogo,31,2001-04-03,Gerente de Operações,2022-05-01,Ativo
15,Funcionário 15,50,Comercial,Recife,834.738.299-94,7829332-3,Pós-graduação,4,1974-04-26,Executivo de Contas,2024-08-26,Ativo
16,Funcionário 16,31,Financeiro,Goiânia,116.566.701-00,2833230-3,Doutorado,31,1993-07-24,Gerente Financeiro,2022-05-05,Ativo
17,Funcionário 17,36,Marketing,Goiânia,338.726.247-76,2642635-0,Doutorado,19,1988-02-15,Analista de Marketing,2023-05-27,Ativo
18,Funcionário 18,42,Comercial,Vitória,801.326.773-34,7550190-4,MBA,8,1982-01-06,Analista Comercial,2024-04-01,Ativo
19,Funcionário 19,47,Vendas,Manaus,746.872.343-56,6261415-0,Pós-graduação,32,1977-10-24,Vendedor,2022-04-30,Ativo
20,Funcionário 20,50,Tecnologia,Salvador,097.882.081-93,4946066-6,Doutorado,23,1974-02-20,Desenvolvedor,2023-01-16,Desligado
21,Funcionário 21,45,Tecnologia,Manaus,193.990.916-35,6271130-3,Doutorado,0,1979-06-09,Tech Lead,2024-12-06,Ativo
22,Funcionário 22,38,Marketing,Florianópolis,462.475.107-80,5449324-2,Graduação,29,1986-02-18,Analista de Marketing,2022-07-24,Ativo
23,Funcionário 23,26,Atendimento,Rio de Janeiro,513.542.784-88,6022741-1,Tecnólogo,0,1998-01-22,Atendente,2024-12-19,Ativo
24,Funcionário 24,49,Inovação,Salvador,241.182.449-18,5428914-8,Pós-graduação,21,1975-12-11,Product Manager,2023-03-08,Ativo
25,Funcionário 25,54,Inovação,Rio de Janeiro,740.164.005-89,8412769-8,Mestrado,27,1970-11-09,Analista de Inovação,2022-09-25,Ativo
26,Funcionário 26,56,Qualidade,Brasília,680.112.805-11,7117837-0,Mestrado,26,1968-07-05,Auditor,2022-10-31,Desligado
27,Funcionário 27,56,Tecnologia,Florianópolis,533.158.692-94,7917152-0,MBA,20,1968-03-26,Analista de Sistemas,2023-04-30,Ativo
28,Funcionário 28,24,Tecnologia,Porto Alegre,256.342.160-87,8722606-5,Tecnólogo,4,2000-04-07,Analista de Sistemas,2024-08-21,Ativo
29,Funcionário 29,48,Vendas,Vitória,433.036.541-31,9996207-5,Doutorado,17,1976-06-21,Gerente de Vendas,2023-07-26,Ativo
30,Funcionário 30,34,Suporte,Vitória,014.294.019-40,8321474-9,Doutorado,6,1990-06-24,Analista de Suporte,2024-06-08,Ativo
31,Funcionário 31,53,Financeiro,Goiânia,816.934.060-80,4305700-5,MBA,1,1971-09-22,Controller,2024-11-30,Ativo
32,Funcionário 32,36,Produto,Belém,615.951.484-93,3135534-3,Pós-graduação,8,1988-06-13,Product Manager,2024-04-16,Ativo
33,Funcionário 33,53,Inovação,Fortaleza,662.994.680-41,6406444-7,Graduação,15,1971-05-07,Product Manager,2023-09-15,Ativo
34,Funcionário 34,49,Comercial,Recife,773.872.148-08,4940441-4,MBA,13,1975-02-27,Executivo de Contas,2023-11-18,Ativo
35,Funcionário 35,27,Qualidade,Manaus,332.003.791-97,7442089-7,Pós-graduação,5,1997-07-21,Coordenador de Qualidade,2024-07-21,Ativo
36,Funcionário 36,32,Atendimento,Rio de Janeiro,632.016.328-30,3036059-7,Pós-graduação,4,1992-01-18,Atendente,2024-08-09,Ativo
37,Funcionário 37,54,Tecnologia,Salvador,278.895.798-02,8963715-7,Graduação,7,1970-09-15,Analista de Sistemas,2024-05-23,Ativo
38,Funcionário 38,34,Vendas,Florianópolis,434.873.471-21,2351868-2,Doutorado,16,1990-04-09,Gerente de Vendas,2023-08-09,Ativo
39,Funcionário 39,29,Produto,Salvador,236.231.665-37,8048838-6,Mestrado,4,1995-07-02,Product Manager,2024-08-12,Ativo
